Date,Open,High,Low,Close,Adj Close,Volume
2021-12-01,89.0,90.0,86.0,87.0,87.0,3066100
2021-12-02,87.0,88.0,83.0,84.0,84.0,6437700
2021-12-03,84.0,88.0,83.0,85.0,85.0,4587000
2021-12-06,80.0,88.0,80.0,86.0,86.0,2811900
2021-12-07,86.0,87.0,84.0,86.0,86.0,3113000
2021-12-08,81.0,88.0,81.0,85.0,85.0,4154000
2021-12-09,81.0,90.0,81.0,89.0,89.0,9589700
2021-12-10,85.0,94.0,85.0,90.0,90.0,12231100
2021-12-13,90.0,92.0,89.0,90.0,90.0,4631800
2021-12-14,90.0,94.0,88.0,90.0,90.0,6444700
2021-12-15,91.0,93.0,87.0,89.0,89.0,5680500
2021-12-16,89.0,91.0,85.0,87.0,87.0,5660000
2021-12-17,87.0,88.0,85.0,85.0,85.0,1823700
2021-12-20,86.0,90.0,85.0,86.0,86.0,5262400
2021-12-21,87.0,87.0,84.0,86.0,86.0,2600400
2021-12-22,86.0,87.0,84.0,85.0,85.0,3378100
2021-12-23,86.0,86.0,83.0,84.0,84.0,2715800
2021-12-24,84.0,91.0,84.0,85.0,85.0,18258700
2021-12-27,86.0,87.0,82.0,86.0,86.0,7024700
2021-12-28,86.0,90.0,85.0,86.0,86.0,8178300
2021-12-29,86.0,88.0,85.0,87.0,87.0,2982700
2021-12-30,88.0,88.0,84.0,85.0,85.0,3456700
2022-01-03,86.0,86.0,83.0,84.0,84.0,2319800
2022-01-04,84.0,84.0,83.0,84.0,84.0,2882700
2022-01-05,84.0,85.0,82.0,82.0,82.0,2399800
2022-01-06,83.0,84.0,80.0,81.0,81.0,2234400
2022-01-07,82.0,86.0,81.0,81.0,81.0,5553200
